metro_id,Metro,StateID
696,Dallas-Fort Worth,44
697,Del Rio,44
698,Dumas,44
699,Eagle Pass,44
700,El Campo,44
701,El Paso,44
702,Fredericksburg,44
703,Gainesville,44
704,Houston,44
705,Huntsville,44
706,Jacksonville,44
707,Kerrville,44
708,Killeen,44
709,Kingsville,44
710,Laredo,44
711,Longview,44
712,Lubbock,44
713,Lufkin,44
714,Marshall,44
715,McAllen,44
716,Palestine,44
717,Pampa,44
718,Paris,44
719,Pecos,44
720,Plainview,44
721,San Angelo,44
722,San Antonio,44
723,Sherman,44
724,Snyder,44
725,Stephenville,44
726,Sulphur Springs,44
727,Sweetwater,44
728,Texarkana,44
729,Tyler,44
730,Vernon,44
731,Waco,44
732,Wichita Falls,44
733,Cedar City,45
734,Heber,45
735,Ogden,45
736,Price,45
737,Provo,45
738,Salt Lake City,45
739,St. George,45
740,Vernal,45
741,Big Stone Gap,46
742,Blacksburg,46
743,Bluefield,46
744,Charlottesville,46
745,Danville,46
746,Harrisonburg,46
747,Kingsport,46
748,Lynchburg,46
749,Richmond,46
750,Roanoke,46
751,Staunton,46
752,Virginia Beach,46
753,Washington,46
754,Winchester,46
755,Barre,47
756,Bennington,47
757,Berlin,47
758,Burlington,47
759,Claremont,47
760,Rutland,47
761,Aberdeen,48
762,Bellingham,48
763,Bremerton,48
764,Centralia,48
765,Ellensburg,48
766,Kennewick,48
767,Lewiston,48
768,Longview,48
769,Moses Lake,48
770,Mount Vernon,48
771,Oak Harbor,48
772,Olympia,48
773,Othello,48
774,Port Angeles,48
775,Portland,48
776,Pullman,48
777,Seattle,48
778,Shelton,48
779,Spokane,48
780,Walla Walla,48
781,Wenatchee,48
782,Yakima,48
783,Appleton,49
784,Baraboo,49
785,Beaver Dam,49
786,Chicago,49
787,Duluth,49
788,Eau Claire,49
789,Fond du Lac,49
790,Green Bay,49
791,Janesville,49
792,Madison,49
793,Manitowoc,49
794,Marinette,49
795,Menomonie,49
796,Milwaukee,49
797,Minneapolis-St Paul,49
798,Oshkosh,49
799,Platteville,49
800,Racine,49
801,Sheboygan,49
802,Watertown,49
803,Wausau,49
804,Whitewater,49
805,Wisconsin Rapids-Marshfield,49
806,Beckley,50
807,Bluefield,50
808,Charleston,50
809,Clarksburg,50
810,Cumberland,50
811,Fairmont,50
812,Hagerstown,50
813,Huntington,50
814,Morgantown,50
815,Parkersburg,50
816,Washington,50
817,Weirton,50
818,Wheeling,50
819,Casper,51
820,Cheyenne,51
821,Laramie,51
822,Riverton,51
823,Rock Springs,51
