CountyID,County,stateID,,CountyID,CountyStateID
335,Towns,11,,335,Towns11
336,Troup,11,,336,Troup11
337,Turner,11,,337,Turner11
338,Union,11,,338,Union11
339,Upson,11,,339,Upson11
340,Walker,11,,340,Walker11
341,Walton,11,,341,Walton11
342,Ware,11,,342,Ware11
343,Wayne,11,,343,Wayne11
344,White,11,,344,White11
345,Whitfield,11,,345,Whitfield11
346,Wilkes,11,,346,Wilkes11
347,Worth,11,,347,Worth11
348,Hawaii,12,,348,Hawaii12
349,Honolulu,12,,349,Honolulu12
350,Maui,12,,350,Maui12
351,Adair,13,,351,Adair13
352,Adams,13,,352,Adams13
353,Allamakee,13,,353,Allamakee13
354,Audubon,13,,354,Audubon13
355,Black Hawk,13,,355,Black Hawk13
356,Boone,13,,356,Boone13
357,Bremer,13,,357,Bremer13
358,Buchanan,13,,358,Buchanan13
359,Calhoun,13,,359,Calhoun13
360,Carroll,13,,360,Carroll13
361,Cerro Gordo,13,,361,Cerro Gordo13
362,Clarke,13,,362,Clarke13
363,Clinton,13,,363,Clinton13
364,Dallas,13,,364,Dallas13
365,Decatur,13,,365,Decatur13
366,Des Moines,13,,366,Des Moines13
367,Dubuque,13,,367,Dubuque13
368,Fayette,13,,368,Fayette13
369,Hancock,13,,369,Hancock13
370,Humboldt,13,,370,Humboldt13
371,Jasper,13,,371,Jasper13
372,Jefferson,13,,372,Jefferson13
373,Johnson,13,,373,Johnson13
374,Jones,13,,374,Jones13
375,Linn,13,,375,Linn13
376,Madison,13,,376,Madison13
377,Marion,13,,377,Marion13
378,Marshall,13,,378,Marshall13
379,Mills,13,,379,Mills13
380,Montgomery,13,,380,Montgomery13
381,Muscatine,13,,381,Muscatine13
382,Polk,13,,382,Polk13
383,Pottawattamie,13,,383,Pottawattamie13
384,Poweshiek,13,,384,Poweshiek13
385,Sac,13,,385,Sac13
386,Scott,13,,386,Scott13
387,Story,13,,387,Story13
388,Warren,13,,388,Warren13
389,Washington,13,,389,Washington13
390,Webster,13,,390,Webster13
391,Winnebago,13,,391,Winnebago13
392,Woodbury,13,,392,Woodbury13
393,Worth,13,,393,Worth13
394,Ada,14,,394,Ada14
395,Bannock,14,,395,Bannock14
396,Bear Lake,14,,396,Bear Lake14
397,Benewah,14,,397,Benewah14
398,Bingham,14,,398,Bingham14
399,Blaine,14,,399,Blaine14
400,Bonner,14,,400,Bonner14
401,Bonneville,14,,401,Bonneville14
402,Canyon,14,,402,Canyon14
403,Caribou,14,,403,Caribou14
404,Clearwater,14,,404,Clearwater14
405,Elmore,14,,405,Elmore14
406,Franklin,14,,406,Franklin14
407,Fremont,14,,407,Fremont14
408,Gem,14,,408,Gem14
409,Gooding,14,,409,Gooding14
410,Jefferson,14,,410,Jefferson14
411,Jerome,14,,411,Jerome14
412,Kootenai,14,,412,Kootenai14
413,Latah,14,,413,Latah14
414,Lemhi,14,,414,Lemhi14
415,Madison,14,,415,Madison14
416,Nez Perce,14,,416,Nez Perce14
417,Owyhee,14,,417,Owyhee14
418,Payette,14,,418,Payette14
419,Power,14,,419,Power14
420,Shoshone,14,,420,Shoshone14
421,Teton,14,,421,Teton14
422,Twin Falls,14,,422,Twin Falls14
423,Adams,15,,423,Adams15
424,Boone,15,,424,Boone15
425,Bureau,15,,425,Bureau15
426,Carroll,15,,426,Carroll15
427,Champaign,15,,427,Champaign15
428,Clinton,15,,428,Clinton15
429,Coles,15,,429,Coles15
430,Cook,15,,430,Cook15
431,DeKalb,15,,431,DeKalb15
432,Douglas,15,,432,Douglas15
433,Du Page,15,,433,Du Page15
434,Ford,15,,434,Ford15
435,Franklin,15,,435,Franklin15
436,Greene,15,,436,Greene15
437,Grundy,15,,437,Grundy15
438,Hamilton,15,,438,Hamilton15
439,Henry,15,,439,Henry15
440,Iroquois,15,,440,Iroquois15
441,Jefferson,15,,441,Jefferson15
442,Jersey,15,,442,Jersey15
443,Jo Daviess,15,,443,Jo Daviess15
444,Kane,15,,444,Kane15
445,Kankakee,15,,445,Kankakee15
446,Kendall,15,,446,Kendall15
447,La Salle,15,,447,La Salle15
448,Lake,15,,448,Lake15
449,Lee,15,,449,Lee15
450,Livingston,15,,450,Livingston15
451,Logan,15,,451,Logan15
452,Macon,15,,452,Macon15
453,Macoupin,15,,453,Macoupin15
454,Madison,15,,454,Madison15
455,Marshall,15,,455,Marshall15
456,McHenry,15,,456,McHenry15
457,McLean,15,,457,McLean15
458,Mercer,15,,458,Mercer15
459,Monroe,15,,459,Monroe15
460,Montgomery,15,,460,Montgomery15
461,Moultrie,15,,461,Moultrie15
462,Ogle,15,,462,Ogle15
463,Peoria,15,,463,Peoria15
464,Piatt,15,,464,Piatt15
465,Putnam,15,,465,Putnam15
466,Randolph,15,,466,Randolph15
467,Rock Island,15,,467,Rock Island15
468,Saint Clair,15,,468,Saint Clair15
469,Sangamon,15,,469,Sangamon15
470,Schuyler,15,,470,Schuyler15
471,Warren,15,,471,Warren15
472,Washington,15,,472,Washington15
473,Whiteside,15,,473,Whiteside15
474,Will,15,,474,Will15
475,Williamson,15,,475,Williamson15
476,Winnebago,15,,476,Winnebago15
477,Woodford,15,,477,Woodford15
478,Allen,16,,478,Allen16
479,Bartholomew,16,,479,Bartholomew16
480,Benton,16,,480,Benton16
481,Blackford,16,,481,Blackford16
482,Boone,16,,482,Boone16
483,Brown,16,,483,Brown16
484,Cass,16,,484,Cass16
485,Clark,16,,485,Clark16
486,Clay,16,,486,Clay16
487,Clinton,16,,487,Clinton16
488,De Kalb,16,,488,De Kalb16
489,Dearborn,16,,489,Dearborn16
490,Decatur,16,,490,Decatur16
491,Delaware,16,,491,Delaware16
